,Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative,Nearest hexagon,Nearest longitude,Nearest latitude,Number of cells within vicinity,Adjacent cell count,Adjacent population,Product-based cell count,Product-based population,Gravity-based cell count,Gravity-based population
21,"Lascaux Cave, France",45.053919,1.167651,22723,18848,France,Indirect,Minimum age,Yes,Paintings,Yes,7250,30.446,30.446,0,1,5128,1,5128,1,5128
22,"Nerja, Spain",36.785916,-3.8044830000000003,23821,23821,Spain,Indirect,Minimum age,Yes,Drawings and torch rubbings,,9410,156.48,156.48,0,1,1924,1,1924,1,1924
23,"Ojo Guareña, Burgos, Spain",43.034337,-3.6645199999999996,11540,10950,Spain,Direct,Exact age,Unknown,Paintings,Yes,746,150.86,150.86,0,1,5476,1,5476,1,5476
24,"Pech Merle, France",44.507308,1.64408,24700,24700,France,Direct,Exact age,Unknown (Likely no),Painting,Yes ,9520,30.005,30.005,0,1,5138,1,5138,1,5138
25,Pedra Cuberta,43.089554,-8.984605,5775,5620,Spain,Direct,Exact,Yes,Painting,Yes,461,148.89,148.89,0,1,5370,1,5370,1,5370
26,"Pedra da Moura, Vimianzo, A Coruña, Spain",43.081351,-8.977859,5745,5745,Spain,Direct,Exact age,Yes,Painting,,461,148.89,148.89,0,1,5204,1,5204,1,5204
27,"Pondra, Cantabria, Spain",43.266475,-3.423179,22000,22000,Spain,Indirect,Minimum age,Unknown,Painting,Yes,10240,150.71,150.71,0,1,0,1,0,1,0
28,"Tito Bustillo Cave, Spain",43.460706,-5.067392,36200,29650,Spain,Indirect,Mixed,Yes,Paintings,Yes,600,149.95,149.95,0,1,4928,1,4928,1,4928
29,"Urdiales, Spain",43.368821999999994,-3.215635,15223,15223,Spain,Direct,Exact age,Yes,Painting,Yes,744,150.69,150.69,0,1,4872,1,4872,1,4872
30,"Villars, France",45.442277000000004,0.785135,21735,17473,France,Direct,Exact age,Yes,Drawings and torch rubbings,No,12812,30.778,30.778,0,1,0,1,0,1,0
