,Name,Latitude,Longitude,Earliest age in sample,Latest age in sample,Modern Country,Direct / indirect,Exact Age / Minimum Age / Max Age,Calibrated,Kind,Figurative,Nearest hexagon,Nearest longitude,Nearest latitude,Adjacent cell count,Adjacent population,Product-based cell count,Product-based population,Gravity-based cell count,Gravity-based population
28,"Djarrng, West Arnhem Land, Northern Territory, Australia",-12.09183,132.8905,720,119,Australia,Direct,Exact age,Yes,Beeswax,Yes,13193,132.66,-12.526,13251,35912462,609,2519496,32,169956
29,"Djulirri, Arnhem Land, Northerm Territory, Australia",-12.09183,132.8905,383,172,Australia,Direct,Exact age,Yes,Beeswax,"Yes
",13193,132.66,-12.526,13251,35843994,629,2544132,16,84818
30,"East Alligator River, Northern Territory, Australia",-12.52543,133.06016,4287,122,Australia,Direct,Exact age,Yes,Beeswax,No,13193,132.66,-12.526,13251,36017240,625,2582110,25,131864
31,"Echidna's Rest, Queensland, Australia",-27.54235,153.07315,1291,Modern,Australia,Direct,Exact age,Yes,Drawings and engraving,No,1054,152.47,-27.692,13251,35878338,623,2554986,50,265080
32,"El Hosh, Egypt (6km north of Gebel Silsila)",24.64261,32.92968,7550,2325,Egypt,Direct,Exact Age,Yes,Petroglyphs,Yes ,12297,32.896,24.333,13251,36689568,1,4,1,0
33,"Emu Cave, New South Wales, Australia",-33.782340000000005,150.59043,1857,1857,Australia,Indirect,Minimum age,Yes,Engraving,Yes,749,151.15,-33.577,13251,35855970,619,2538652,56,294958
34,"Fariseu, Coa Valley, Portugal",41.07999,-7.11178,18400,10800,Portugal,Indirect,Minimum age,No,Petroglyphs,Yes ,5033,352.636,40.587,13251,23180466,614,2030408,3,15952
35,"Fetra Hé Cave, Lifou Island, New Caledonia",-21.0385,167.24052,2570,983,New Caledonia,Direct,Exact age,Yes,Hand stencils,Some ,3905,166.82,-20.965,7,0,1,0,1,0
36,"Forno dos muros, portugal",40.22424,-8.63622,5840,5505,Portugal,Direct,Exact age,Yes,Painting,,4824,351.3003,40.507,13251,36136604,845,3158046,3,16010
37,"Foz Coa, Portugal",41.08225,-7.14036,1955,100,Portugal,Indirect,Minimum age,,Petroglyphs,Yes,5033,352.636,40.587,13251,35858752,839,3148962,5,26518
38,"Fuente de el Salin, Muñorrodero Spain",43.36443,-4.48298,26596,22340,Spain,Indirect,Minimum age,Unknown,Painting,,5864,355.7222,43.664,13251,22793476,599,2019412,1,4668
39,"Gargas, France",43.903220000000005,5.3573900000000005,30988,26860,France,Indirect,Minimum age,Unknown,"Hand stencils, engravings",Yes,7446,5.702,43.612,13251,22763868,617,2080062,1,5170
40,"Giant Horse, Laura, Queensland, Australia",-15.5384,144.4566,474,474,Australia,Direct,Exact age,Yes,Painting,-,887,144.62,-15.526,13251,35843698,628,2540720,26,136696
41,"Glen Canyon, South-central Utah, USA",37.386990000000004,-110.84281999999999,1080,675,USA,Indirect,,Unknown,Painting,Yes,13014,249.46,37.505,13251,35892942,2643,12037422,1,3384
42,"Grande Grotte, Arcy-sur-Cure, France",47.59145,3.7663900000000003,45504,29173,France,Indirect,,Yes,Painting,,7442,3.1159,47.555,13251,19288412,644,2236338,1,4740
43,"Grotta di Fumane, Italy",45.59248,10.90443,41000,41000,Italy,Indirect,Exact Age,Yes,Painting,Yes,8449,10.4,45.281,13251,23528390,646,2202090,1,4396
44,"Grotte d’Aldène, Cesseras, France",43.3539,2.6983900000000003,34263,30260,France,Indirect,,Unknown,Engravings,,6969,2.8524,43.701,13251,23362134,635,2151156,1,4650
45,"Grotte de Cussac, Dordogne River Valley, France",44.829440000000005,0.84778,29209,3426,France,Indirect,Mixed,Unknown,Painting,Yes,6738,0.72878,44.7,13251,22558186,594,2002142,1,4866
46,"Gunbilngmurrung, Australia",-12.8,133.3,4297,140,Australia,Direct,Exact Age,Yes,Beeswax,Yes ,13194,133.2,-13.36,13251,36017240,625,2582110,25,131864
47,"Hathitol, India",23.15224,79.92067,5526,2780,India,Direct,Exact Age,Unknown,Painting,Yes,5974,79.712,23.399,13251,36152330,1121,5010182,502,2664188
48,"Hay Cave, Queensland, Australia",-23.16733,150.490387,2484,1010,Australia,Direct,Exact age,No,Painting,No,1050,150.59,-23.174,13251,35664056,619,2474614,1,4370
49,"Ignatievskaya Cave, Russia",54.8995,57.78159,8790,6925,Russia,Direct,Exact Age,Unknown,Painting,Yes,6363,57.46,55.328,13251,37038184,1,1998,1,1998
50,"Ingaladdi, willeroo, Northern Territory, Australia",-15.29028,131.5752,7676,7676,Australia,Indirect,Minimum age,Yes,Engraving,,12686,132.11,-15.467,13251,36702480,654,2657558,7,37042
51,"Jamjori, India",24.51548,87.08116,1634,1720,India,Direct,Exact Age,Unknown,Painting,No,7801,87.498,24.671,13251,35858314,1136,5012558,489,2589734
52,"Jinsha, China ",26.85505,100.22775,5216,5216,China,Indirect,Maximum Age,,Painting,Yes,11281,99.991,26.558,13251,36035318,1124,4970062,494,2616106
53,"Kaalpi site, Western Australia (Near Calvert Ranges)",-23.95,122.72,377,308,Australia,Direct,Exact age,Yes,Painting,,9373,122.91,-23.741,13251,35843994,629,2544132,1,3506
54,"Kaho'olawe, Hawai'i, USA",20.55805,-156.60574,923,0,Hawaii,Indirect,Minimum age,Yes,Painting,Yes,2088,202.82,20.965,3,0,1,0,1,0
55,"Kapova cave, Russia",53.0438,57.06514,17870,13930,Russia,Indirect,Unknown,Unknown,Painting,Yes,5943,56.403,53.36,13251,23189574,1,1074,1,1074
56,"Kennedy River, Queensland, Australia",-15.5906,144.0308,1132,1132,Australia,Indirect,Minimum age,Yes,Engraving,Yes,887,144.62,-15.526,13251,35886868,622,2551282,26,137532
57,"Kimberley, Australia",-17.34918,125.91521000000002,4300,1350,Australia,Direct,Exact age,Yes,Painting,Yes,11054,126.08,-17.433,13251,36017240,625,2582110,25,132082
58,"La Garma, Cantabria, Spain",43.15194,-3.8963900000000002,16875,16875,Spain,Direct,Exact age,Yes,Paintings,Yes,5865,356.5093,42.71,13251,23831790,677,2309812,1,4716
59,"La Pileta, Spain",36.6913,-5.2699,24228,24228,Spain,Direct,Exact age,Yes,Paintings,Yes,4828,354.4278,36.681,13251,22997618,600,2021368,4,21530
60,"La Tête du lion, France",45.7774,4.85521,26760,25997,France,Indirect,Minimum age,Yes,Paintings,,7444,4.4672,45.597,13251,22789362,599,2018108,1,3764
61,"Labastide, France",43.03555,0.35226999999999997,17476,484,France,Direct,Exact age,Yes,Paintings,Yes,6514,0.69828,42.752,13251,23194736,603,2007026,1,3954
62,"Lapa do Santo, Brazil",-19.47778,-44.03889,10600,10600,Brazil,Yes,Exact age,Yes,Petroglyph,Yes,5235,316.33,-19.469,13251,34696664,1,0,1,0
63,"Lascaux Cave, France",45.05392,1.16765,22723,18848,France,Indirect,Minimum age,Yes,Paintings,Yes,6738,0.72878,44.7,13251,22614390,592,1970388,1,4980
64,"Lower Pecos, Texas",31.422909999999998,-103.49323000000001,4290,3865,USA,Direct,Exact Age,Unknown,Painting,,910,256.62,30.922,13251,36017240,2611,11957696,1,3400
65,"M23, Calvert Ranges, Western Australia",-23.96667,122.96667,2085,759,Australia,Direct,Exact age,Yes,Painting,,9373,122.91,-23.741,13251,35851010,623,2549740,1,3452
66,"Malangine Cave, Nene Valley, South Australia",-38.05,140.69,6348,5046,Australia,Indirect,Minimum age,Yes,Figure Fluting & Engraving,No,9936,140.18,-37.836,13251,36145152,637,2547012,1,4306
67,Mámoa do Monte: Dos Marxos,42.64848,-7.94635,6110,5495,Portugal,Direct,Exact age,Yes,Painting,,5240,352.3277,42.539,13251,36157420,850,3169186,3,15634
68,"Marjar - East Alligator, Northern territory, Australia",-13.09229,132.39377,191,191,Australia,Direct,Exact age,Yes,Beeswax,,12940,132.1,-13.57,13251,35854270,630,2548564,35,186214
69,"Mennge-ya 1, Northern Territory (near Willeroo)",-15.29028,131.5752,4488,4010,Australia,Indirect,Minimum age,No,Engraving,No,12686,132.11,-15.467,13251,36036216,633,2641658,93,489722
70,"Messak Plateau, Fezzan, Libya",25.75,11.83333,6946,5150,Libya,Indirect,,No,Engraving,,6981,11.652,26.094,13251,36656406,1,548,1,548
71,"Mickey Springs 31, Hughenden, Queensland, Australia",-20.85,144.2,5929,5929,Australia,Unknown,Unknown,Yes,Engraving,No,447,144.65,-20.644,13251,36152668,639,2554344,1,4788
72,"Moonface site, Queensland, Australia",-21.5097,140.6679,796,796,Australia,Direct,Exact age,Yes,Painting,Yes,13472,140.09,-21.506,13251,35904306,625,2560336,1,4352
73,"Moses Cave, Arnhem Land, Northern Territory, Australia",-12.4302,130.88238,274,274,Australia,Direct,Exact age,Yes,Beeswax,No,12938,131.02,-11.891,13251,35850090,630,2547402,34,180336
74,"Mount Manning, Western Australia",-30.12203,119.7426,586,182,Australia,Indirect,,Yes,Drawing,No,7831,119.81,-30.146,13251,35888796,625,2554962,1,2474
75,"Mungana Site, Queensland, Australia",-17.11842,144.39899,3644,1177,Australia,Direct,Exact age,Yes,Drawing,No,733,144.63,-17.237,13251,36021348,626,2588478,28,146808
76,"Nangalor (Nanguluwur), Kakadu National Park, Northern Territory, Australia",-13.09229,132.39377,5570,776,Australia,Indirect,Minimum Age,Yes,Painting,No,12940,132.1,-13.57,13251,36134934,637,2547654,10,52330
77,"Nara Inlet, Queensland",-20.15,148.9,2489,2489,Australia,Unknown,Unknown,Yes,Unknown,,1047,149.13,-19.823,13251,35664056,620,2477099,1,0
78,"Natal Drakkenberg, South Africa",-29.46667,29.26667,675,402,South Africa,Indirect,,Yes,Painting,No,4260,29.277,-29.496,13251,35892016,1631,7844460,8,41906
79,"Nawarla Gabarnmang, Jawoyn Country, Arnhem Land Australia",-12.1685,133.8335,27630,27630,Australia,Direct,Exact age,Yes,Painting,,13461,133.75,-12.313,13251,22979910,2190,9996638,22,116500
80,"Nerja, Spain",36.785920000000004,-3.8044800000000003,23821,23821,Spain,Indirect,Minimum age,Yes,Drawings and torch rubbings,,5037,355.6655,36.727,13251,22985998,602,2021482,4,21330
81,"Ngarradj Warde Djobkeng, Northern Territory",-12.3,132.57,10083,9171,Australia,Indirect,Minimum age,Yes,Painting,,13193,132.66,-12.526,13251,36703456,784,3443736,27,143112
82,"Ojo Guareña, Burgos, Spain",43.03434,-3.6645199999999996,13377,10950,Spain,Direct,Exact age,Unknown,Paintings,Yes,5865,356.5093,42.71,13251,28501940,752,2772280,1,4770
83,"Padahlin, Taunggyi District, Shan State, Myanmar",20.7637,96.92090999999999,8515,1750,Myanmar,Indirect,Unknown,Unknown,Painting,Yes,9877,97.369,21.061,13251,37050556,1321,6052720,534,2830900
84,"Painted Shelter, Queensland, Australia",-16.1295,144.1289,2484,2420,Australia,Direct,Exact Age,No,Painting,Yes,732,144.0,-16.381,13251,35664056,619,2474614,39,206118
85,"Panaramitee, Flinders Ranges, South Australia",-31.41667,138.75,46273,3575,Australia,Indirect,Minimum age,No,Engraving,No,11336,138.21,-31.208,13251,19280932,1,0,1,0
86,"Pech Merle, France",44.50731,1.64408,28727,24700,France,Direct,Exact age,Unknown (Likely no),Painting,Yes ,6968,2.186,44.685,13251,22964948,633,2096012,1,4080
87,Pedra Cuberta,43.08955,-8.98461,5775,5620,Spain,Direct,Exact,Yes,Painting,Yes,5239,351.4548,43.465,13251,36148972,844,3151846,3,15806
88,"Pedra da Moura, Vimianzo, A Coruña, Spain",43.08135,-8.97786,5745,5745,Spain,Direct,Exact age,Yes,Painting,,5239,351.4548,43.465,13251,36147246,844,3158760,3,16128
89,"Pete's Chase, Queensland",-16.1295,144.1289,2064,310,Australia,Direct,Exact age,Unknown,Painting,Yes ,732,144.0,-16.381,13251,35864446,617,2532748,44,232732
90,"Pilbara, Western Australia, Australia",-21.883329999999997,116.76666999999999,4040,2600,Australia,Indirect,Minimum age,Unknown,Petroglyphs,Yes ,8335,116.78,-21.352,13251,36013448,624,2580460,1,3632
91,"Pomongwe Cave, Zimbabwe",-20.547411999999998,28.51367,5526,4090,Zimbabwe,Direct,Exact age,Unknown,Painting,,5094,28.874,-20.477,13251,36152330,1646,7949158,7,36948
92,"Pondra, Cantabria, Spain",43.26648,-3.4231800000000003,22000,22000,Spain,Indirect,Minimum age,Yes,Painting,Yes,5865,356.5093,42.71,13251,22617968,593,1969966,1,4210
93,"Possum Cave, Queensland, Australia",-10.7,142.51667,9501,2217,Australia,Indirect,Minimum age,Yes,Engraving,No,1037,142.21,-10.366,13251,36982044,785,3445590,100,530138
94,"Prung-Cart Cave, South Australia (near Millicent)",-37.09041,140.82979,2783,1076,Australia,Indirect,Minimum age,Yes,Figure fluting,Unknown,10220,140.24,-36.816,13251,35673824,619,2477734,1,3860
95,"Puritijarra, Cleland Hills, Northern Territory, Australia",-23.883329999999997,130.86667,2747,548,Australia,Indirect,Minimum age,Yes,Engraving,No,11327,131.26,-23.468,13251,35662326,618,2472022,1,4354
96,"Quinkans B6 Rockshelter, Queensland, Australia",-15.6286,144.5308,2999,845,Australia,Indirect,Minimum Age,Unknown,Engraving & Painting,No,887,144.62,-15.526,13251,35669440,618,2475034,39,206764
97,"Qurta, Egypt",24.629170000000002,32.9625,17000,10000,Egypt,Direct,Exact Age,Yes,Petroglyph,Yes,12297,32.896,24.333,13251,23829326,1,0,1,0
98,"Racecourse Site, Queensland, Australia",-17.1747,144.4994,2031,2031,Australia,Direct,Exact Age,Yes,Drawing,No,733,144.63,-17.237,13251,35863892,622,2548912,138,732830
99,"Red Lady, Queensland, Australia",-15.762120000000001,144.25756,8213,8213,Australia,Indirect,Minimum Age,Yes,Painting,Yes,887,144.62,-15.526,13251,36676884,654,2656612,15,79226
100,"Robin Hood Cave and Church Hole, Creswell Crags, UK",53.263490000000004,-1.19353,15700,13200,UK,Indirect,Minimum Age,Yes,Engravings,Yes,7436,358.1954,53.233,13251,24438560,722,2489926,1,3414
101,"RSA TYN2 , Drakensberg Mountains, Eastern Cape, South Africa",-29.46667,29.26667,2009,1971,South Africa,Direct,Exact age,Yes,Paintings,Unknown,4260,29.277,-29.496,13251,35863612,1635,7866892,7,37482
102,"Sandy Creek 1 & 2, Queensland, Australia",-16.0,144.0,33676,2964,Australia,Indirect,Minimum Age,Yes,Painting,Yes,732,144.0,-16.381,13251,23360668,2295,10398066,1,4654
103,"Serpent's Glen 1, Wiluna, Western Australia",-25.21667,120.75,3417,377,Australia,Direct,Exact Age,Yes,Painting,No,8601,120.18,-25.038,13251,35664986,618,2471418,1,3586
104,"Snake Site, Cannon Hill, Northern Territory, Australia",-12.3,132.57,563,563,Australia,Indirect,Minimum age,Yes,Painting,,13193,132.66,-12.526,13251,35903996,622,2550568,78,411980
105,"Steenbokfontein Cave, South Africa",-32.16167,18.33333,9392,2200,South Africa,Indirect,Minimum age,Yes,Painting,No,2201,18.464,-32.568,13251,36913092,1,860,1,860
106,"Spirit Cave, Anbangbang, Kakadu, Northern Territory, Australia",-12.86552,132.814,14182,3747,Australia,Indirect,Minimum Age,Yes,Painting,No,13193,132.66,-12.526,13251,26654102,828,3569850,28,147712
107,"Split rock, Queensland, Australia",-15.6525,144.4975,7433,7433,Australia,Direct,Exact Age,No,Painting,,887,144.62,-15.526,13251,36591346,630,2478628,10,52302
108,"Steenbokfontein Cave, South Africa",-32.16167,18.33333,9393,2200,South Africa,1999,AMS dating,Indirect,Minimum age,No,2201,18.464,-32.568,13251,36913092,1,860,1,860
109,"Sturt Meadows, New South Wales, Australia",-31.11,140.4,12237,11978,Australia,Indirect,Minimum Age,Yes,Engraving,,11869,140.54,-30.626,13251,29622496,865,3907256,1,3244
110,"Tassili-n-Ajjer, Algeria",25.8136,8.13386,8237,2287,Algeria,Indirect,,Yes,Paintings,Yes,6087,7.7471,25.392,13251,36688446,1,1430,1,1430
111,"Tennessee, Cumberland Plateau",35.9496,-85.02705,5698,,USA,Direct,Exact Age,Yes,Charcoal pictograph,Yes,3714,275.02,36.157,13251,36158342,2678,12293624,245,1297860
112,"Tito Bustillo Cave, Spain",43.46071,-5.0673900000000005,36200,29650,Spain,Indirect,Mixed,Yes,Paintings,Yes,5654,354.2981,43.612,13251,23268090,630,2147886,1,5046
113,"uKhalamba, South Africa",-29.38049,29.546,4050,990,South Africa,Indirect,Maximum age,Yes,Painting,Yes,4260,29.277,-29.496,13251,36013448,1667,7995452,15,79540
114,"Unnamed sites 1-3, Kimberley, Western Australia",-17.34918,125.91521000000002,23800,Modern,Australia,Indirect,Minimum Age,No,Painting,Yes,11054,126.08,-17.433,13251,22968312,2197,10064960,42,221490
115,"Urdiales, Spain",43.36882,-3.21564,15223,15223,Spain,Direct,Exact age,Yes,Painting,Yes,6071,357.1476,43.701,13251,25071332,773,2765992,1,4770
116,"Urkan-e-Rub, Lower Jordan Valley, Israel",32.42288,35.30272,20204,16750,Israel,Unknown,Unknown,Unknown,Engraving,No,13098,34.821,32.066,13251,22851590,7,18370,1,3412
117,"Villars, France",45.44228,0.78514,21735,17473,France,Direct,Exact age,Yes,Drawings and torch rubbings,No,6967,1.4897,45.661,13251,22618566,592,1973090,1,4630
118,"Walkunder Arch Cave, Queensland, Australia",-17.2297,144.5169,34254,3575,Australia,Indirect,"Maximum age for date to use; different samples have minimum age, maximum age, middle date, and supporting date",Yes,Paintings & Engraving,,733,144.63,-17.237,13251,23362134,2294,10389796,1,3794
119,"Wanga East, Northern Territory, Australia",-24.19,131.4,8093,1332,Australia,Indirect,Minimum age,Yes,Engraving,Yes,11328,131.87,-24.359,13251,36689846,659,2671256,1,3614
120,"Waterfall Cave, New South Wales, Australia",-35.42,150.11,604,,Australia,Direct,Exact Age,Yes,Painting,No,602,150.12,-35.372,13251,35885658,622,2550042,50,263770
121,"Wharton Hill, Australia",-32.64,139.77,41084,36400,Australia,Indirect,Minimum age,No,Petroglyph,Yes,11338,140.44,-32.704,13251,23479394,2268,10365126,1,2156
122,"Winnemucca Lake, Nevada, Usa",40.12185,-119.33962,12500,12500,USA,Indirect,Minimum age,Yes,Painting,No,11132,240.15,40.579,13251,29106078,973,4068886,1,4432
123,"Wonderwerk Cave, South Africa",-27.846729999999997,23.55418,11898,1210,South Africa,Indirect,Minimum age,Unknown ,Engraving,No,3220,23.16,-28.003,13251,30311274,1669,8107596,9,47092
124,"Wurik (Mann River E1002, 1004, 1005)., Northern Territory, Australia/Yikarrakkal (Mann River A1005), Northern Territory, Australia",-12.21948,134.14352,646,183,Australia,Direct,Exact Age,Yes,Beeswax,Yes,13461,133.75,-12.313,13251,35881140,624,2557820,40,209942
125,"Yam Camp, Cape York, Queensland, Australia",-15.7823,144.2341,682,602,Australia,Direct,"Exact Age, but latest date is minimum age",Yes,Painting,Yes,887,144.62,-15.526,13251,35907480,624,2554654,16,84274
126,"Yiwarlarlay, Northern Territory, Australia",-12.36686,130.88125,4592,3386,Australia,Indirect,Minimum age,Yes,Engraving,Yes,12938,131.02,-11.891,13251,36029174,635,2647982,94,496336
127,"Yunta Springs, South Australia",-32.54,139.55,17020,1398,Australia,Indirect,Minimum age,Yes,Engraving,Mixed ,11072,139.25,-33.006,13251,23831352,1,1642,1,1642
